id,imei,user_route_id,latitude,longitude,heading,created,modified
89760,868120116635480,59,31.26983333,121.4069867,131,3/19/2015 9:00,3/19/2015 9:00
89762,868120116635480,59,31.26905333,121.4079289,141,3/19/2015 9:01,3/19/2015 9:01
89765,868120116635480,59,31.26824667,121.4089956,123,3/19/2015 9:01,3/19/2015 9:01
89768,868120116635480,59,31.26824667,121.4089956,123,3/19/2015 9:01,3/19/2015 9:01
89770,868120116635480,59,31.26786222,121.41024,102,3/19/2015 9:01,3/19/2015 9:01
89775,868120116635480,59,31.26759111,121.4115378,105,3/19/2015 9:02,3/19/2015 9:02
89776,868120116635480,59,31.26725778,121.4128533,101,3/19/2015 9:03,3/19/2015 9:03
89778,868120116635480,59,31.26714889,121.4141867,104,3/19/2015 9:03,3/19/2015 9:03
89779,868120116635480,59,31.2668,121.4154756,108,3/19/2015 9:03,3/19/2015 9:03
89780,868120116635480,59,31.26672889,121.4167022,107,3/19/2015 9:04,3/19/2015 9:04
89781,868120116635480,59,31.26648667,121.4178844,115,3/19/2015 9:05,3/19/2015 9:05
89782,868120116635480,59,31.26620222,121.4179644,182,3/19/2015 9:05,3/19/2015 9:05
89783,868120116635480,59,31.26497778,121.4178489,180,3/19/2015 9:05,3/19/2015 9:05
89784,868120116635480,59,31.26379778,121.4177778,185,3/19/2015 9:06,3/19/2015 9:06
89785,868120116635480,59,31.26266444,121.4176711,185,3/19/2015 9:06,3/19/2015 9:06
89786,868120116635480,59,31.26154889,121.4175467,185,3/19/2015 9:06,3/19/2015 9:06
89788,868120116635480,59,31.26037111,121.4174489,184,3/19/2015 9:07,3/19/2015 9:07
89789,868120116635480,59,31.25902222,121.4173333,182,3/19/2015 9:07,3/19/2015 9:07
89790,868120116635480,59,31.25790222,121.4172444,185,3/19/2015 9:08,3/19/2015 9:08
89791,868120116635480,59,31.25666889,121.4173422,172,3/19/2015 9:09,3/19/2015 9:09
89792,868120116635480,59,31.25548222,121.4174756,170,3/19/2015 9:09,3/19/2015 9:09
89793,868120116635480,59,31.25481556,121.4176978,121,3/19/2015 9:09,3/19/2015 9:09
89794,868120116635480,59,31.25484444,121.4178933,55,3/19/2015 9:09,3/19/2015 9:09
89795,868120116635480,59,31.2556,121.4190133,51,3/19/2015 9:10,3/19/2015 9:10
89796,868120116635480,59,31.25619778,121.4196356,335,3/19/2015 9:10,3/19/2015 9:10
89797,868120116635480,59,31.25733333,121.4193156,2,3/19/2015 9:11,3/19/2015 9:11
89798,868120116635480,59,31.25850222,121.4195022,6,3/19/2015 9:11,3/19/2015 9:11
89799,868120116635480,59,31.25895333,121.4196356,36,3/19/2015 9:11,3/19/2015 9:11
89800,868120116635480,59,31.25909333,121.41984,72,3/19/2015 9:12,3/19/2015 9:12
89801,868120116635480,59,31.25897333,121.4212,106,3/19/2015 9:12,3/19/2015 9:12
89802,868120116635480,59,31.25872,121.42248,98,3/19/2015 9:13,3/19/2015 9:13
89803,868120116635480,59,31.25857111,121.4233511,146,3/19/2015 9:13,3/19/2015 9:13
89804,868120116635480,59,31.25765556,121.4237067,180,3/19/2015 9:13,3/19/2015 9:13
89805,868120116635480,59,31.25652889,121.42392,179,3/19/2015 9:14,3/19/2015 9:14
89806,868120116635480,59,31.25599333,121.4239467,224,3/19/2015 9:14,3/19/2015 9:14
89807,868120116635480,59,31.25538667,121.4228356,235,3/19/2015 9:15,3/19/2015 9:15
89808,868120116635480,59,31.25474,121.42168,232,3/19/2015 9:15,3/19/2015 9:15
89809,868120116635480,59,31.25472444,121.4207556,298,3/19/2015 9:15,3/19/2015 9:15
89810,868120116635480,59,31.25558889,121.42,318,3/19/2015 9:16,3/19/2015 9:16
89811,868120116635480,59,31.25595333,121.4195822,267,3/19/2015 9:17,3/19/2015 9:17
89812,868120116635480,59,31.25591333,121.4194667,237,3/19/2015 9:17,3/19/2015 9:17
89813,868120116635480,59,31.25514889,121.4183467,234,3/19/2015 9:17,3/19/2015 9:17
89814,868120116635480,59,31.25488,121.4177067,315,3/19/2015 9:18,3/19/2015 9:18
89815,868120116635480,59,31.25516222,121.4176,354,3/19/2015 9:18,3/19/2015 9:18
89816,868120116635480,59,31.25640889,121.4174933,356,3/19/2015 9:18,3/19/2015 9:18
89817,868120116635480,59,31.25742667,121.4173689,346,3/19/2015 9:19,3/19/2015 9:19
89818,868120116635480,59,31.25752,121.4170133,246,3/19/2015 9:20,3/19/2015 9:20
89819,868120116635480,59,31.25676444,121.4158133,230,3/19/2015 9:20,3/19/2015 9:20
89820,868120116635480,59,31.25598,121.4146578,230,3/19/2015 9:21,3/19/2015 9:21
89821,868120116635480,59,31.25536444,121.4135022,238,3/19/2015 9:21,3/19/2015 9:21
89822,868120116635480,59,31.25500444,121.4121867,254,3/19/2015 9:22,3/19/2015 9:22
89823,868120116635480,59,31.25469556,121.4109867,246,3/19/2015 9:22,3/19/2015 9:22
89824,868120116635480,59,31.25438,121.4097244,252,3/19/2015 9:23,3/19/2015 9:23
89825,868120116635480,59,31.25406,121.4083911,260,3/19/2015 9:23,3/19/2015 9:23
89826,868120116635480,59,31.25382444,121.40704,257,3/19/2015 9:23,3/19/2015 9:23
89827,868120116635480,59,31.25385333,121.4067378,296,3/19/2015 9:23,3/19/2015 9:23
89828,868120116635480,59,31.25398444,121.4066044,338,3/19/2015 9:24,3/19/2015 9:24
89829,868120116635480,59,31.25517556,121.4065422,354,3/19/2015 9:24,3/19/2015 9:24
89830,868120116635480,59,31.25641778,121.4063644,348,3/19/2015 9:24,3/19/2015 9:24
89831,868120116635480,59,31.25759778,121.4061244,348,3/19/2015 9:24,3/19/2015 9:24
